epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1493.86,1.32661,1.17769,0.9365,0.80173,0.7484,0.8267,0.56574,1.02225,0.72208,0.84691,0.0668387,0.00016664,0.00016664
2,2918.27,1.2107,0.89548,0.90577,0.82936,0.81506,0.8653,0.61249,0.94598,0.57392,0.83475,0.033657,0.000318308,0.000318308
3,4335.48,1.16638,0.82572,0.89786,0.85701,0.82906,0.89008,0.63682,0.91958,0.52743,0.8304,0.000460351,0.000454976,0.000454976
4,5739.14,1.1204,0.76714,0.88706,0.86259,0.85803,0.90178,0.65073,0.90209,0.50287,0.82748,0.0004325,0.0004325,0.0004325
5,7134.08,1.09121,0.72994,0.88063,0.87737,0.85771,0.91246,0.66258,0.88684,0.48516,0.82457,0.00041,0.00041,0.00041
6,8540.14,1.06589,0.70002,0.8757,0.87788,0.86307,0.91667,0.66972,0.8752,0.47362,0.82311,0.0003875,0.0003875,0.0003875
7,9950.93,1.04617,0.67223,0.87069,0.88523,0.86318,0.92162,0.67583,0.86652,0.46408,0.82167,0.000365,0.000365,0.000365
8,11353,1.03313,0.65661,0.86897,0.89163,0.86198,0.92326,0.68142,0.86031,0.45751,0.8209,0.0003425,0.0003425,0.0003425
9,12761.9,1.01754,0.63763,0.86587,0.89025,0.86332,0.92463,0.68334,0.85591,0.45325,0.82053,0.00032,0.00032,0.00032
10,14168.4,1.00396,0.62376,0.86271,0.89269,0.86287,0.92642,0.68553,0.8532,0.44933,0.82032,0.0002975,0.0002975,0.0002975
11,15609,0.9728,0.58202,0.86169,0.89047,0.86466,0.92746,0.6874,0.8511,0.44621,0.81986,0.000275,0.000275,0.000275
12,17032.9,0.96026,0.56623,0.85829,0.88675,0.86944,0.92919,0.68869,0.8485,0.44282,0.8196,0.0002525,0.0002525,0.0002525
13,18453.7,0.94828,0.5556,0.85489,0.89031,0.8705,0.93087,0.6912,0.84591,0.43967,0.81937,0.00023,0.00023,0.00023
14,19869.7,0.93723,0.54227,0.85293,0.89448,0.86967,0.93274,0.694,0.84311,0.43676,0.81902,0.0002075,0.0002075,0.0002075
15,21292.9,0.92927,0.53416,0.85196,0.89551,0.8718,0.9341,0.69604,0.84074,0.43405,0.81869,0.000185,0.000185,0.000185
16,22718.1,0.91652,0.52286,0.8496,0.88687,0.88378,0.93532,0.69852,0.8384,0.43156,0.81823,0.0001625,0.0001625,0.0001625
17,24131.8,0.90667,0.51448,0.84705,0.89082,0.88478,0.93664,0.70104,0.83551,0.42879,0.81782,0.00014,0.00014,0.00014
18,25546.5,0.90005,0.50616,0.84666,0.89221,0.88707,0.9377,0.7029,0.83286,0.42641,0.81741,0.0001175,0.0001175,0.0001175
19,26968.2,0.88967,0.49606,0.84417,0.89269,0.88893,0.93868,0.70446,0.83021,0.42362,0.81704,9.5e-05,9.5e-05,9.5e-05
20,28389.9,0.88246,0.48967,0.84212,0.89164,0.89183,0.93984,0.70568,0.82778,0.42116,0.81657,7.25e-05,7.25e-05,7.25e-05
