epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,864.167,1.20885,1.04319,0.8842,0.7699,0.68939,0.76923,0.50995,1.09111,0.76757,0.85709,0.0670097,0.000333235,0.000333235
2,1650.61,1.1448,0.79612,0.87046,0.78741,0.7573,0.81231,0.55485,1.02025,0.65225,0.84721,0.0339438,0.000600578,0.000600578
3,2455.61,1.09786,0.72205,0.8625,0.83903,0.76457,0.83763,0.58753,0.97599,0.59297,0.84158,0.000811763,0.000801921,0.000801921
4,3226.63,1.05099,0.66542,0.85289,0.84934,0.80695,0.8709,0.61591,0.94661,0.54968,0.83491,0.000703,0.000703,0.000703
5,3999.95,1.02347,0.62247,0.84765,0.86345,0.81172,0.88167,0.62724,0.9213,0.52993,0.83077,0.000604,0.000604,0.000604
6,4767.27,0.9959,0.5899,0.84266,0.86665,0.83838,0.89559,0.6459,0.89917,0.49859,0.82744,0.000505,0.000505,0.000505
7,5541.07,0.96911,0.56006,0.83939,0.86907,0.85381,0.9025,0.65803,0.88241,0.48315,0.82474,0.000406,0.000406,0.000406
8,6313.72,0.94868,0.53421,0.83595,0.87496,0.86146,0.91209,0.66859,0.87159,0.46914,0.82299,0.000307,0.000307,0.000307
9,7085.28,0.92434,0.50837,0.8335,0.88275,0.86203,0.91616,0.67453,0.8592,0.4553,0.82128,0.000208,0.000208,0.000208
10,7857.29,0.90747,0.48795,0.82976,0.88002,0.87159,0.91974,0.6789,0.8535,0.44919,0.8202,0.000109,0.000109,0.000109
