epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6635.75,1.28256,1.15132,1.14848,0.84994,0.85981,0.90153,0.65491,0.98805,0.57832,0.96087,0.0670013,0.00033332,0.00033332
2,13097.2,1.16491,0.84621,1.09679,0.86537,0.88016,0.92333,0.67856,0.95299,0.52403,0.94552,0.0339353,0.000600655,0.000600655
3,19531,1.11996,0.75905,1.07072,0.86341,0.90032,0.93135,0.69207,0.94118,0.49975,0.94058,0.000803318,0.000801989,0.000801989
4,25939,1.08266,0.7012,1.05137,0.87241,0.9038,0.93578,0.69849,0.9344,0.4869,0.93741,0.000703,0.000703,0.000703
5,32358.1,1.05025,0.65476,1.03638,0.87882,0.90604,0.93981,0.70373,0.92802,0.47896,0.93515,0.000604,0.000604,0.000604
6,38759.4,1.02528,0.62295,1.02402,0.88352,0.90112,0.94212,0.70938,0.92174,0.47168,0.93301,0.000505,0.000505,0.000505
7,45133.5,1.00344,0.59581,1.01403,0.89061,0.89685,0.94387,0.71208,0.9185,0.46579,0.9316,0.000406,0.000406,0.000406
8,51552,0.98273,0.57043,1.00315,0.89288,0.89567,0.94561,0.71464,0.91468,0.46105,0.92979,0.000307,0.000307,0.000307
9,58016.4,0.96276,0.54824,0.99414,0.89857,0.89603,0.94674,0.71597,0.91119,0.45639,0.92816,0.000208,0.000208,0.000208
10,64609,0.94626,0.52978,0.98628,0.89175,0.90486,0.94799,0.7189,0.90799,0.45173,0.9266,0.000109,0.000109,0.000109
